claim_id,claim,status,location,dependencies,script,external_data,supersedes,canonical_status,active
AX.P1.01,c3 = 1/(8 pi) boundary seam kernel,Axiom,tfpt_1,-,-,Gauss-Bonnet (geometric origin),,Axiom,true
AX.P2.01,g_car = 5 carrier interface (3+2),Axiom,tfpt_1,-,-,-,,Axiom,true
FORM.P2.02,P2 carrier algebra (hypercharge/family) machine-verified,Formal,tfpt_1;tfpt_2,AX.P2.01,lean4-carrier-rigidity,-,,Formal,true
E8.GLU.01,E8 = (D5 (+) A3) + mu4 glue: explicit lattice certificate (240 roots norm^2=2; even; unimodular Gram det=1; glue index 4=|mu4|); disc=Z4; q(D5)+q(A3)=5/4+3/4=2,Lattice,tfpt_1;tfpt_3,D5; A3; Z4,v1_e8_glue.py,-,,Lattice,true
E8.NUM.01,240 = 16*5*3 and 248 = 240+8 as carrier traces,Lattice,tfpt_1,E8.GLU.01,v1_e8_glue.py,-,,Lattice,true
CAR.PAS.01,g_car = 5 unique Pascal solution (proof + check),Lattice,tfpt_1,-,v2_carrier_pascal.py,-,,Lattice,true
CAR.SM.01,N_fam=3; Omega_adm=48; b1=41/10; dim S+ = 16,Lattice,tfpt_1;tfpt_2,CAR.PAS.01,v2_carrier_pascal.py,-,,Lattice,true
CAR.UNIQ.01,"g_car=5 is the UNIQUE rank with N_fam in Z+ and g+N_fam=8; split (b,s)=(3,2) unique from b+s=5,b^2+s^2=13; Tr Y=Tr Y^3=0 (anomaly-free)",Lattice,tfpt_1,E8 closure; SM gauge algebra dim 12,v14_carrier_uniqueness.py,-,,Lattice,true
BOOT.CLASS.01,D5(+)A3 is the UNIQUE familyful cyclic-glue decomposition of E8 (16-dim half-spinor + 3-family A3); glue Z4=|mu4|,Lattice,tfpt_1;tfpt_3,E8.GLU.01; even-unimodular rank-8 uniqueness,v15_bootstrap_classification.py,-,,Lattice,true
EM.FP.01,alpha^-1 = 137.0359992168 unique root of F_U1=0 (existence + uniqueness + interval-arithmetic + ablation),Numerical,tfpt_1,AX.P1.01; EM.BUDGET.01,v3_em_alpha.py,NIST CODATA 2022 (137.035999177(21)),,Numerical,true
EM.BUDGET.01,"EM budget M=41 is FORCED = 10 b1 = sum L + N_Phi (U(1) index, not a free fit); (4/5)M c3^6 = 8 b1 c3^6",Lattice,tfpt_1;tfpt_2,CAR.SM.01 (b1 from g_car),v13_open_gates.py,-,,Lattice,true
FLAV.R.01,residue matrix R: det=8; minors {2;3;5}; char poly; SNF diag(1;1;8) (positive invariant factors); ||R||^2=78; sum L=40,Lattice,tfpt_1;tfpt_2;tfpt_3,-,v4_flavor_matrix.py,-,,Lattice,true
FLAV.KQ.01,Q-Sigma algebra: K=R+Q*Sigma; L=R+Q*(I+Sigma); chi_Q=(t-1)(t^2-5t+3); chi_K=(t-1)(t^2-8t+4); det ladder (3;4;8;20) product 1920=|W(D5)|; a^T K a=41,Lattice,tfpt_2,FLAV.R.01; Sigma=diag(1;-1;-1),v10_projection_involution.py;v11_unique_KQ.py;v12_mass_generation_polynomials.py,-,,Lattice,true
FLAV.QGEO.01,geometric origin of Q reduced: Q_+ = A3 exponent grading (spec 1;2;3); Q_-^2 = N_fam on support; open = realise Q_+/Q_- on parabolic P1\mu4,Physical (conditional; sharpened),tfpt_2,FLAV.KQ.01; parabolic Hodge on P1\mu4,v13_open_gates.py,-,,Physical (conditional; sharpened),true
